2026-05-26 14:27:46,039 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,039 | accel_jobs | INFO | Processed: Software EngineeringSenior Java DeveloperProfessionalVilnius, LT .st0{fill:none;}
2026-05-26 14:27:46,077 | accel_jobs | INFO | Processed: Software EngineeringApplication Developer-Java & Web TechnologiesProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,077 | accel_jobs | INFO | Processed: Senior Data Analyst/BI Developer
2026-05-26 14:27:46,078 | accel_jobs | INFO | Processed: Business Development Representative - Data Foundation
2026-05-26 14:27:46,078 | accel_jobs | INFO | Processed: Software EngineeringMaximo MAS Developer/Data & IntegrationProfessionalMultiple Cities .st0{fill:none;}
2026-05-26 14:27:46,078 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-Microsoft .NET StackProfessionalPune, IN .st0{fill:none;}
2026-05-26 14:27:46,078 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-AWS Cloud FullstackProfessionalPune, IN .st0{fill:none;}
2026-05-26 14:27:46,078 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-AWS Cloud FullStackProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,079 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-AWS Cloud FullStackProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,079 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-Application ModernizationProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:27:46,079 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-AWS Cloud FullstackProfessionalPune, IN .st0{fill:none;}
2026-05-26 14:27:46,080 | accel_jobs | INFO | Processed: Data & AnalyticsApplication Developer-AWS Cloud FullStackProfessionalBangalore, IN .st0{fill:none;}
2026-05-26 14:28:53,056 | accel_jobs | INFO | Saved 118 jobs
2026-05-26 14:28:53,056 | accel_jobs | INFO | Cleaning up accel_jobs scraper
2026-05-26 14:50:47,309 | accel_jobs | INFO | accel_jobs scraper started
2026-05-26 14:50:47,309 | accel_jobs | INFO | Initializing accel_jobs scraper
2026-05-26 14:50:55,024 | accel_jobs | INFO | Browser initialized for accel_jobs
2026-05-26 14:50:55,024 | accel_jobs | INFO | Searching: software engineer
2026-05-26 14:50:56,656 | accel_jobs | INFO | Processed: Software Engineer I
2026-05-26 14:50:56,657 | accel_jobs | INFO | Processed: Software Engineer 1
2026-05-26 14:50:56,658 | accel_jobs | INFO | Processed: Software Engineer
2026-05-26 14:50:56,659 | accel_jobs | INFO | Processed: Sr Principal Software Engineer (L7 Security)
2026-05-26 14:50:56,659 | accel_jobs | INFO | Processed: Principal Software Engineer, Go-To-Market (GTM) and CX Products
2026-05-26 14:50:56,660 | accel_jobs | INFO | Processed: Principal IT Software Engineer
2026-05-26 14:50:56,660 | accel_jobs | INFO | Processed: Principal Software Engineer -Email Security (Cortex)
2026-05-26 14:50:56,660 | accel_jobs | INFO | Processed: Software Engineer - Wildfire
2026-05-26 14:50:56,661 | accel_jobs | INFO | Processed: Principal Engineer Software (Prisma AIRS Backend)
